Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments,Component origin id,Has License Conflicts
,5271cd46-d193-4af5-b2c2-50a07751f580,16b7a6cb-4b9d-4c99-bb62-d3bd60a7ad24,Go Testify,20151207-snapshot-e3a8ff8c,e3a8ff8ce36581f87a15341206f205b1da467059,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/19/22,github,stretchr/testify:e3a8ff8ce36581f87a15341206f205b1da467059,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/7/15,24,DECREASING,10,5,,,,,fd56d31f-f79f-4b49-92e6-5a8757d804b1,false
,5271cd46-d193-4af5-b2c2-50a07751f580,1b89840a-da37-4363-9a36-858f34d3938c,Go Testify,v1.2.2,v1.2.2,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/19/22,github,stretchr/testify:v1.2.2,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/9/18,11,DECREASING,10,5,,,,,dfc41d27-85aa-4de2-b394-c0a10e32de57,false
,5271cd46-d193-4af5-b2c2-50a07751f580,46431326-a3c0-4c65-9bf0-0add187810e4,Go Testify,v1.3.0,v1.3.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/19/22,github,stretchr/testify:v1.3.0,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,1/7/19,9,DECREASING,10,5,,,,,7200c9e1-c45d-49c6-9b48-d551838abb0f,false
,5271cd46-d193-4af5-b2c2-50a07751f580,ed474f38-d187-4201-a049-e14bc4acea57,Go Testify,v1.4.0,v1.4.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/19/22,github,stretchr/testify:v1.4.0,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/15/19,8,DECREASING,10,5,,,,,bfbbc86a-ac00-48b0-9b00-120f0c55f691,false
,5271cd46-d193-4af5-b2c2-50a07751f580,8e0de16e-e9ba-4380-b7eb-040586147a3b,Go Testify,v1.6.1,v1.6.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,HIGH,Not In Violation,,1/19/22,unknown,,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,6/5/20,3,DECREASING,10,5,,,,,01b7da05-b36a-4fdb-992e-fa9fac130d73,false
,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,37e34ea7-21a5-43e2-8546-a730a7c164c4,Google Cloud Client Libraries for Go,20200910-snapshot,v0.34.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/19/22,github,googleapis/google-cloud-go:v0.34.0,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,12/4/18,612,,,,,,,,532c4794-9520-4066-8839-ca5babc42d0d,false
,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,5584aa60-aa16-4245-acd3-e52542f4d661,Google Cloud Client Libraries for Go,v0.38.0,v0.38.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,1/19/22,github,googleapis/google-cloud-go:v0.38.0,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,5/1/19,482,,,,,,,,36cf5e19-ebce-4962-ba5f-273bd137260a,false
,ee2fd6f7-a201-4e6f-859b-89a5b942eea7,938c9491-baa3-49b0-a005-0f06123913c5,Google Cloud Client Libraries for Go,v0.54.0,v0.54.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,1/19/22,github,googleapis/google-cloud-go:v0.54.0,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,3/5/20,379,,,,,,,,4e1ae79f-2069-45d7-9619-4b633440682e,false
,8ae647a1-bdf4-48a5-a491-32142c77f6e0,9def1970-3373-4892-90c1-2fa799872303,btree,20180813-snapshot-4030bb1f,4030bb1f1f0c35b30ca7009e9ebd06849dd45306,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/19/22,github,google/btree:4030bb1f1f0c35b30ca7009e9ebd06849dd45306,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/13/18,1,,,,,,,,ed364433-ca90-4f03-b9a2-eb42b9fd807b,false
,8ae647a1-bdf4-48a5-a491-32142c77f6e0,8141258a-b2e1-4f41-a179-90f88346912b,btree,v1.0.0,v1.0.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,1/19/22,unknown,,NOT_REVIEWED,,,couchbase-service-broker 1.2.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,8/13/18,1,,,,,,,,57101914-0ea9-48c1-bf57-0be216059b16,false
